time,continent,country,population,day,new_cases,active_cases,critical_cases,recovered_cases,1M_pop_cases,total_cases,new_deaths,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests,date_column,year,month,date,monthly
2023-11-02 03:00:04+00:00,North-America,USA,334805269,2023-11-02,0,906433,1385,107093367,326103,109180951,0,3528,1181151,3543468,1186371670,2023-11-02,2023,11,2023-11-02,11
2023-11-02 01:30:04+00:00,North-America,USA,334805269,2023-11-02,4711,886743,1379,107093367,326044,109161261,20,3528,1181151,3543468,1186371670,2023-11-02,2023,11,2023-11-02,11
2023-11-02 01:00:05+00:00,North-America,USA,334805269,2023-11-02,3407,884794,1380,107089555,326027,109155458,17,3528,1181109,3543468,1186371670,2023-11-02,2023,11,2023-11-02,11
2023-11-02 00:45:04+00:00,North-America,USA,334805269,2023-11-02,3407,872199,1380,107087240,325981,109140217,17,3527,1180778,3543468,1186371670,2023-11-02,2023,11,2023-11-02,11
2023-11-02 00:30:05+00:00,North-America,USA,334805269,2023-11-02,3407,867893,1380,107082038,325953,109130664,17,3527,1180733,3543468,1186371670,2023-11-02,2023,11,2023-11-02,11
2023-11-02 00:15:05+00:00,North-America,USA,334805269,2023-11-02,3312,867630,1382,107081233,325949,109129590,17,3527,1180727,3543468,1186371670,2023-11-02,2023,11,2023-11-02,11
2023-11-02 00:00:06+00:00,North-America,USA,334805269,2023-11-02,2824,867749,1373,107078212,325941,109126684,13,3527,1180723,3543468,1186371670,2023-11-02,2023,11,2023-11-02,11
2023-11-01 23:45:05+00:00,North-America,USA,334805269,2023-11-01,2180,866792,1379,107074671,325927,109122169,13,3527,1180706,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-11-01 23:30:08+00:00,North-America,USA,334805269,2023-11-01,2180,867284,1384,107072757,325923,109120723,13,3526,1180682,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-11-01 23:00:05+00:00,North-America,USA,334805269,2023-11-01,1933,867371,1384,107072429,325922,109120476,7,3526,1180676,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-11-01 22:45:06+00:00,North-America,USA,334805269,2023-11-01,1325,866758,1385,107068782,325909,109116216,7,3526,1180676,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-11-01 22:15:05+00:00,North-America,USA,334805269,2023-11-01,854,867410,1385,107067666,325908,109115745,0,3526,1180669,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-11-01 22:00:05+00:00,North-America,USA,334805269,2023-11-01,3400,868279,1385,107065943,325906,109114891,16,3526,1180669,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-11-01 00:30:04+00:00,North-America,USA,334805269,2023-11-01,2850,866587,1385,107063790,325894,109111035,15,3526,1180658,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-11-01 00:15:04+00:00,North-America,USA,334805269,2023-11-01,2850,875626,1385,107015718,325777,109071764,15,3526,1180420,3543468,1186371670,2023-11-01,2023,11,2023-11-01,11
2023-10-31 22:15:08+00:00,North-America,USA,334805269,2023-10-31,1881,876642,1390,107011867,325768,109068914,2,3526,1180405,3543468,1186371670,2023-10-31,2023,10,2023-10-31,10
2023-10-30 22:45:06+00:00,North-America,USA,334805269,2023-10-30,1492,878200,1390,107009143,325765,109067747,1,3526,1180404,3543468,1186371670,2023-10-30,2023,10,2023-10-30,10
2023-10-30 22:15:09+00:00,North-America,USA,334805269,2023-10-30,199,878787,1390,107007263,325761,109066454,1,3526,1180404,3543468,1186371670,2023-10-30,2023,10,2023-10-30,10
2023-10-30 22:00:09+00:00,North-America,USA,334805269,2023-10-30,86,879032,1390,107006905,325761,109066341,1,3526,1180404,3543467,1186371514,2023-10-30,2023,10,2023-10-30,10
2023-10-30 21:45:18+00:00,North-America,USA,334805269,2023-10-30,1764,879047,1390,107006805,325760,109066255,3,3526,1180403,3543467,1186371514,2023-10-30,2023,10,2023-10-30,10
2023-10-30 01:00:05+00:00,North-America,USA,334805269,2023-10-30,1764,881846,1390,107004006,325760,109066255,3,3526,1180403,3543467,1186371514,2023-10-30,2023,10,2023-10-30,10
2023-10-30 00:00:05+00:00,North-America,USA,334805269,2023-10-30,1566,884118,1390,107001539,325760,109066057,0,3526,1180400,3543467,1186371514,2023-10-30,2023,10,2023-10-30,10
2023-10-29 23:15:05+00:00,North-America,USA,334805269,2023-10-29,41,883656,1390,107000476,325755,109064532,0,3526,1180400,3543467,1186371514,2023-10-29,2023,10,2023-10-29,10
2023-10-29 22:15:07+00:00,North-America,USA,334805269,2023-10-29,41,884150,1390,106999982,325755,109064532,0,3526,1180400,3543467,1186371514,2023-10-29,2023,10,2023-10-29,10
2023-10-29 22:00:10+00:00,North-America,USA,334805269,2023-10-29,2254,884109,1390,106999982,325755,109064491,5,3526,1180400,3543467,1186371514,2023-10-29,2023,10,2023-10-29,10
2023-10-29 00:30:05+00:00,North-America,USA,334805269,2023-10-29,2254,887228,1375,106996863,325755,109064491,5,3526,1180400,3543467,1186371514,2023-10-29,2023,10,2023-10-29,10
2023-10-29 00:15:06+00:00,North-America,USA,334805269,2023-10-29,2254,892834,1375,106991257,325755,109064491,5,3526,1180400,3543467,1186371514,2023-10-29,2023,10,2023-10-29,10
2023-10-28 23:00:07+00:00,North-America,USA,334805269,2023-10-28,2033,893146,1375,106990725,325754,109064270,4,3526,1180399,3543467,1186371514,2023-10-28,2023,10,2023-10-28,10
2023-10-28 22:30:04+00:00,North-America,USA,334805269,2023-10-28,3326,892247,1375,106989351,325748,109061990,2,3526,1180392,3543467,1186371514,2023-10-28,2023,10,2023-10-28,10
2023-10-28 00:45:07+00:00,North-America,USA,334805269,2023-10-28,3326,903047,1383,106976032,325740,109059457,2,3526,1180378,3543467,1186371514,2023-10-28,2023,10,2023-10-28,10
2023-10-28 00:30:05+00:00,North-America,USA,334805269,2023-10-28,3326,903047,1378,106976032,325740,109059457,2,3526,1180378,3543467,1186371514,2023-10-28,2023,10,2023-10-28,10
2023-10-28 00:00:05+00:00,North-America,USA,334805269,2023-10-28,3326,909067,1391,106970012,325740,109059457,2,3526,1180378,3543467,1186371514,2023-10-28,2023,10,2023-10-28,10
